prompt_id,section_h1,section_h2,section_h3,table_id,row_index,prompt_column_header,prompt_text,source_url
1,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,1,prompt,"Transformation in the first and last frames, 15 seconds of red and gold Queen→Ice King transformation shot, sharp contrast between warm and cold tones, 0-3 seconds: slow-motion shot focusing on the red-dressed Queen sitting on the gilt throne, fingertips gently shaking the gilt folding fan, the friction of the clothes makes a tiny sound, cold eyes glance below, the warm light of the palace lanterns in the background is swaying, accompanied by the low palace string music; 4-8 Seconds: With the folding fan in the Queen's hand as the core, ice crystal patterns suddenly burst out. The ice patterns quickly spread like a spider web to cover her red robe, throne and even the entire palace. The panning camera quickly cut to a close-up of the painful deformation of her face, which was red and cracked, and her hair was condensed with ice. Accompanied by the crisp sound of ice crystals exploding and the low-temperature hissing, the Queen murmured, ""This power of ice erosion... has actually penetrated into the bones""; 9-12 Seconds: A long shot from above to freeze the transformation of the Ice King sitting on the Frozen Throne, with the ice-covered joints holding an ice fan tightly, water droplets dripping from the ice picks on the edge of the throne, and the ice hanging from the icicles in the background shaking slightly, accompanied by the sound of ice cracking and the howling cold wind; 12-15 seconds: A slow tweet close-up of the Ice King's scarlet eyes, and he roared. ""From now on, there will be no empress in the world, only the Lord of Frozen End."" The camera finally freezes on the symmetrical silhouette of the Ice Throne, and the sound effects converge into the buzz of the collision of ice and fire energy and gradually dissipate.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
2,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,2,prompt,"15 seconds of a fairy tale pilgrimage shot, with warm golden tones, 0-3 seconds: a low-angle shot of the protagonist in a blue robe walking slowly along the jade steps, the hem of his clothes fluttering in the mountain breeze, the clouds and mist on both sides rolling slowly, multiple layers of gilded arches in the distance extending layer by layer, soft fairy music slowly playing in the background; 4-8 Seconds: The camera slowly zooms in, the protagonist steps onto the top of the jade steps, and raises his hand to brush the dragon pattern relief on the arch beside him. The relief instantly lights up with pale golden runes, accompanied by a subtle buzzing sound effect of the runes; 9-12 seconds: The camera zooms out, and the protagonist stops in front of the innermost arch. The golden tiles on the top of the arch burst into fine golden light under the refraction of the sun. Clouds and mist billow out from the gaps in the arch, and the volume of the fairy music increases slightly; 13-15 Seconds: Slowly tweet a close-up of the protagonist's profile. His eyes are focused on the fairy palace in front of him, and he whispers, ""Today, I will enter the Lingxiao Palace and ask about what happened back then."" Finally, the camera freezes on the silhouette of the fairy palace in the middle of the arch. The fairy music fades away, leaving only the soft sound of flowing clouds and mist.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
3,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,3,prompt,"15 seconds of dark magic burst shot, purple and black cold tones, 0-3 seconds: low-angle shot of the magical protagonist suspended in the starry sky, hands condensed with beating purple flames, robes blown by the energy airflow, the giant magic array above his head slowly rotates and glows, meteorites slowly float in the background, accompanied by the buzzing of the magic array and the low sound of spells, the protagonist grits his teeth and roars ""With my blood, draw the power of the starry sky!""; 4-8 Seconds: Panning camera for a close-up, the flames in the palm of the protagonist's palm surge and golden runes appear, the double arrays under the feet and above the head form purple energy convection, the electric light shuttles between the runes, the surrounding meteorites are shattered by the energy waves, accompanied by the roar of the energy flow and the sound of the meteorites cracking; 9-12 Seconds: Upward shot, zoom out, freeze frame and slow playback, the protagonist raises his arms high, and the flames of both palms gather into a giant purple energy ball. The energy ball tears the starry sky, all the magic circle runes light up, and the ruined buildings in the background tremble under the impact, accompanied by the roar of energy condensation and the sound of air distortion; 13-15 seconds: Slow tweet to close up the protagonist's red eyes, and he roars ""Annihilation!"", the energy ball instantly exploded into a purple shock wave and spread. The camera swept across the broken starry sky with the shock wave, and finally settled on the remnants of the magic circle. The sound effects ended with the reverberation of the shock wave and the fading wind.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
4,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,4,prompt,"15 seconds of high-burning battle footage of Xianxia, golden and red warm tones, 0-3 seconds: low-angle close-up of the protagonist's blue robe fluttering due to the heat wave, holding a thunder-patterned giant sword tightly with both hands, the blade's red lightning flashing continuously, lava on the ground bubbling, the distant demon soldiers roaring and charging, the protagonist shouts ""Today, I will use this sword to suppress evil spirits like you!"", accompanied by the sound of swords and lava gurgling; 4-8 Seconds: Quick cut around the panning camera, the protagonist spins around and swings the sword, the sword blade tears the air and shoots out a red shock wave. The front row of demon soldiers are knocked away and shattered into ashes. The light and shadow of the gilded gold workshop in the background tremble under the energy impact, accompanied by the sound of the sword energy breaking through the air and the screams of the demon soldiers; 9-12 Seconds: Upward shot, zoom out, freeze and slow play, the protagonist leaps into the air, the sword condenses a giant arc of lightning and strikes at the group of demon soldiers. Where the arc sweeps, lava splashes and the demon soldiers are annihilated. The swirling golden light in the sky violently rotates and shrinks, accompanied by the roar of energy explosions and the sound of cracking gravel. 13-15 seconds: Slowly tweets a close-up of the main character sheathing his sword in the corner. The hem of his clothes trembles slightly, and the remaining electric light of the sword flashes. He looks towards the archway and says coldly. ""The door to this world cannot be crossed."" The final shot freezes on the silhouette of the archway, and the sound effects end with the lingering trembling and fading wind.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
5,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,5,prompt,"15 seconds of hot-blooded battle footage of Xianxia, dark red and gold tones, low-angle tracking opening (0-3 seconds): the protagonist is dressed in a flowing blue robe and holds a giant thunder-patterned sword, rushing forward, the hem of his clothes is fluttering, the red and gold magic circle on the soles of his feet spirals up and bursts of golden light, the red electric light wrapped around the sword blade continues to flash, accompanied by the sound of the sword and the buzz of the magic circle, the protagonist shouts ""Break!""; the panning camera quickly cuts to a close-up (4-8 Seconds): Dozens of flaming bats swoop in, the protagonist spins and swings his sword, the blade's electric light tears the air, the magic circle shoots out a golden shock wave and knocks away the bats in the front row, the background is the sound of bat screams and sword energy breaking through the air; tilt up and zoom out to freeze and slow play (9-12 seconds): the protagonist leaps into the air and chops, the sword condenses a giant lightning arc and hits the core of the bat swarm, the red gold energy explosion spreads and stirs up the surrounding airflow, in the distance ""Half World of Yama"" The light and shadow of the archway trembled under the impact, accompanied by the roar of energy explosions and the sound of cracking gravel; a slow close-up faded to the end (13-15 seconds): the sword was sheathed in the main corner, the hem of the clothes moved slightly, the remaining bats turned into sparks and dissipated, the camera focused on the weak electric light remaining on the sword blade, the plaque of the archway in the background was clearly visible, the protagonist said coldly, ""This world does not allow you to be unruly."", and the final sound effects ended with the lingering trembling and fading wind.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
6,Story production,AI comic drama,,Kbzadv1LgoPXvTxPfJKcDmPdnY8,6,prompt,"This work adopts the style of Chinese fantasy animated films to create an epic dark fantasy atmosphere, and uses ultra-fine CG animation technology. The story takes place in an ancient mysterious temple, where a thick purple three-dimensional fog envelopes the earth. Beautifully carved stone pillars and golden dragon-shaped reliefs stand quietly, while a huge purple energy vortex slowly rotates above. The camera moves forward in a slow, cinematic manner, tilting slightly upward. A dazzling light bursts out of the vortex, and purple particles float in the air.\nA calm male protagonist wearing a flowing ancient robe slowly walked out of the mist. The medium shot transitions to a medium close shot, where the fabric of the robe and long hair are gently fluttering in the wind of energy. He looked cold and calm, looking straight ahead, holding the weapon lightly in his hand. Behind him, purple shadow creatures gradually emerged from the fog, their twinkling eyes becoming more dazzling, and the fog became thicker. Subtle movements of the camera add to the tension.\nAs the pressure suddenly increased, a powerful force burst out from the protagonist's body. The purple halo quickly spread outwards, and the energy particles accelerated. The camera shook slightly, and the light suddenly shone. His hair and robe suddenly lifted up, and his eyes began to shine. He slowly raised his head and said in a low and restrained voice: ""You... are not worthy.""\nThe energy vortex expanded to fill the entire screen, and time slowed down briefly. The movements of the shadow creatures froze instantly, and purple light enveloped the entire scene. The camera took a dramatic close-up of the protagonist's face, and the tension reached its peak. The screen faded to white. A movie-like ending, gripping suspense, high-contrast light and shadow effects, strong depth of field, and professional animation-style movements, suitable for making a 15-second AI animation short film.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
7,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,1,prompt,"Screen (0-5 seconds): Close-up of Grandma Zhang’s red eyes, pointing her finger at the volunteer, tears falling on her clothes, on the verge of emotional collapse\nLine 1 (Grandma Zhang, choking and roaring): What on earth are you trying to lie to me about? Is it interesting to use Lao Chen?\nPicture (6-10 seconds): The volunteer holds the recording pen tightly with both hands, shaking slightly, holding it forward with red eyes, the camera sweeps over, showing the cracks on the bedside\nLine 2 (Volunteer, choking with emotion): I didn’t lie to you! This is what Grandpa Chen entrusted to me during his lifetime. He wants to accompany you!\nPicture (11-15 seconds): The volunteer suddenly pressed the recorder, and Grandpa Chen’s deep voice first sounded. Grandma Zhang froze instantly, her eyes changed from anger to shock, and her hands were slightly raised.\nSound effects: rapid piano sound + mobile phone current noise, Grandma Zhang’s choking sound, recording pen keystroke sound, and Grandpa Chen’s fuzzy vocals mixed in at the end.\nDuration: Exactly 15 seconds (each frame is compact, no redundancy)",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
8,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,2,prompt,"Screen (0-5 seconds): A close-up of a girl pulling the collar of a Shiba Inu (ex-boyfriend). The Shiba Inu is struggling wildly and baring its teeth (its eyes show a humanoid panic). The girl’s face is expressionless, and her other hand is holding a pet hospital sterilization notice.\nLine 1 (girl, speaking in a sultry tone): Didn’t you act arrogantly when you were a scumbag to me? Today I will give you ""End of Love""!\nScreen (6-10 seconds): The girl forcefully drags the Shiba Inu towards the door of the pet hospital. The Shiba Inu kicks on the ground and whines (like a person begging for mercy). The camera scans the hospital's ""Neuteration Area"" sign, and the girl's mouth curls into a bad smile.\nLine 2 (girl, teasing): Stop struggling. After sterilization, you can no longer flirt around~\nScreen (11-15 seconds): The girl forcibly picks up the Shiba Inu and rushes inside. The Shiba Inu’s head is shaking and its paws are scratching (with desperate eyes). The camera freezes on the contrasting face of the girl’s evil smile and the Shiba Inu’s panic.\nSound effects: light and funny background sounds, Shiba Inu struggling and whimpering, girls’ teasing laughter, slight ambient sounds of the hospital\nDuration: 15 seconds exactly (brisk rhythm, full of imagination)",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
9,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,3,prompt,"Screen (0-5 seconds): Close-up of the two people pulling the camera, the heroine is pulling the CEO's tie, the distance is very close, the president's eyes are confused (amnesia state), frowning and scolding, the heroine has a disdainful smile on her lips. Line 1 (President, confused and strong): Woman, how dare you be so presumptuous? Let me tell you, I only recognize my Bai Yueguang! Screen (6-10 seconds): The heroine suddenly tightens the tie, the president leans close to him, the heroine pokes his chest with her fingertips, the camera scans the old photo of the president and the heroine on the table (foreshadowing), the heroine's eyes become cold. Line 2 (the heroine, being cool and counterattacking): Bai Yueguang? President, before you lost your memory, you begged me on your knees not to leave! Screen (11-15 seconds): The heroine loosens her tie, the CEO stumbles, his eyes change from confusion to shock, the heroine turns around and looks back with raised eyebrows, a provocative smile on her lips, the camera freezes the contrast between the two people. Sound effects: low and tense background sound, the subtle sound of the tie being pulled, the CEO's low scolding, the heroine's cold laughter, slight office environment sounds Duration: Exactly 15 seconds (full of bloody and pulling feeling, tight rhythm) No subtitles should appear in all the scenes, and a voice is added at the end to say ""predict what will happen next, please watch the next episode""",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
10,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,4,prompt,"Screen (0-5 seconds): Close-up shot of the heroine tearing up the contract, scraps of paper falling, the president kneeling on one knee and reaching out to stop her, his eyes panicked, the heroine ducks away with a cold smile on her lips\nLine 1 (President, humble and confused): Su Wan! The contract is not over yet, you can't leave! I will give you money and status!\nScreen (6-10 seconds): The heroine raises her feet to avoid his hand and throws the torn contract paper at his face. The camera scans the whispers of the surrounding guests (blurred background), and the heroine’s eyes become colder.\nLine 2 (female protagonist, cold and counterattack): Contract? Mr. Gu, it was you who said at the beginning that I was not even worthy of carrying your shoes, and now you are begging me? It's too late!\nScreen (11-15 seconds): The CEO is frozen in place, with confetti on his face. His eyes turn from panic to despair. The heroine turns around and leaves with her head held high. The hem of her red dress is fluttering. The camera freezes the contrast between the two.\nSound effects: Gorgeous and tense background sound, the sound of the contract being torn up, the president's humble pleading, the heroine's cold tone, the guests' slight whispers\nDuration: 15 seconds accurately (full of bloody feeling, anti-killing feeling, tight rhythm)",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
11,Story production,Real life short drama,,C93XdTK0VoN83ixsFj7cgcVgntf,5,prompt,"Please expand and refer to the latter part of video 1, the girl’s three wishes, what is the first wish?",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
12,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,1,prompt,Refer to the camera transition effect in Video 1 and replace the main body of the picture with Figure 1. The movement is smooth without any additional effects.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
13,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,2,prompt,"Replace the fruits in @Video 1 with the strawberries in Picture 1, replace the fruit slices in the reference video with strawberry slices, and replace the tea leaves with strawberries",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
14,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,3,prompt,"Referring to the city shuttle editing technique of Video 1 and using background music, generate a promotional video for Shenzhen, with the landmark buildings in Figures 1, 2, and 3 appearing and frozen.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
15,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,4,prompt,"Use the input male photo as a character reference, keep the character's front appearance, hairstyle, facial features proportions and clothing unchanged, and completely migrate and apply the special effects in Video 1 to the character. The appearance mode, dynamic rhythm, morphological changes and duration of the special effects strictly refer to Video 1, which naturally matches the character's movements and body position without blocking key facial features. The main body of the character remains stable, the special effects surround the character or are triggered from the character, and the picture is coherent and smooth, with no flicker, no misalignment, and no style deviation. The overall style is more realistic, highlighting the combined effect of ""characters + special effects"" to generate natural and credible special effects videos.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
16,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,5,prompt,Refer to the camera transition effect in Video 1 and replace the main body of the picture with Figure 1. The movement is smooth without any additional effects.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
17,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,6,prompt,"Refer to the camera movement and cross-dressing effects in the video, let the character in picture 1 cross-dress to the effect in picture 2, and generate a 15-second video",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
18,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,7,prompt,Refer to the fast camera movement method in the video to generate a 15-second video from Figure 1.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
19,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,8,prompt,"Refer to the camera movement method and background music in the video, and generate a 15-second video that follows the camera movement stuck points based on the 5 uploaded reference pictures.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
20,video parody,Cool mirror,,XAj1dNy63ojRUCxkHEdc1fianUg,9,prompt,"Generate a 15-second movie-level short film ""traveling through five movie genre worlds"". The main subject is the same man running across the world. Each world takes about 2–2.5 seconds, and the pace gets tighter and tighter. Every time I switch, I use ""blocking and wiping the mirror"": the man's shoulders/clothes/foreground objects pass by the camera and fill the screen → the next world seamlessly connects to the same running posture.\nWorld 1 (noir): Alleyway on a rainy night, hard light cutting, strong contrast, ground reflection, thin layer of smoke.\nWorld 2 (ancient martial arts style): Moonlight in the bamboo forest, wind blowing clothes, cold weapons flashing, but no close-ups of specific weapons (to avoid overshadowing the scene), the camera still locks the face.\nWorld 3 (hard science fiction): long and narrow metal corridor, volumetric light and cold fog, pressure from the light port in the distance, and the camera zooms in slightly with breathing.\nWorld 4 (Western Highway): Dusty, backlit sun, heat wave air disturbance, and the clear sound of gravel on the ground.\nWorld 5 (war/disaster movie feel but not bloody): Strong wind and dust, distant firelight illuminates the outline, the camera returns to the front and close-up to freeze and finish.\nThe narration must be stronger and denser, but each sentence must be very short:\n0–2s (frontal super close shot) “It’s me.”\n2–4s “Get another one.”\n4–6s “Change again.”\n6–9s “Don’t blink.”\n9–12s “Still running.”\n12–15s (face locked) “I’m wearing it.”\nSound: Raindrops/Bamboo leaves and wind/Metal low-frequency buzzing/Dust whistling/Explosive wind low-frequency. There are short low-frequency ""bang"" and lens-wiping cloth sounds at the switching points. The picture must be intuitive, coherent, and cinematic, without game special effects.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
21,video parody,real fight,,KHK5d6ss0ob1CHx6KCacPQ0OnZg,1,prompt,"In the scene shown in Figure 5, character 1 changes into the style of character 2, with his clothes torn and separated into pieces, and the character is surrounded by blue speed lines"" and ""hand-drawn special effects""; character 3 changes into the style of character 4, floating in the flames, accompanied by anime-style ""speed lines"" and ""hand-drawn special effects.""\nIn the Japanese-style house background in Figure 5, Character 1 and Character 3 start a duel, accompanied by exciting background music. During this process, please maintain the consistency of the facial expressions of Character 1 and Character 3.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
22,video parody,real fight,,KHK5d6ss0ob1CHx6KCacPQ0OnZg,2,prompt,"In the reference picture, Character 1 and Character 2 are dueling. The movements refer to the movements in Video 1 and are accompanied by exciting background music. During this process, please maintain the consistency of the facial expressions of Character 1 and Character 3.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
23,video parody,dance imitation,,BVGlduPTdowxAexw75zcWHqInrf,1,prompt,Let the character in picture 1 copy the dance movements and stuck music in video 1 to generate a 13-second video with smooth movements and no lag.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
24,video parody,dance imitation,,BVGlduPTdowxAexw75zcWHqInrf,2,prompt,Refer to the dance moves in Video 1 and let all the cats in Picture 1 dance with the same dance moves.,https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
25,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,1,prompt,"Please generate a live delivery video based on the reference picture: The character in the 0-2s picture is sitting on the sofa, picking up the bag of potato chips with one hand, and gently stroking his sleeve with the other hand. His eyes changed from majestic to curious, and he said: ""My imperial kitchen, with slightly raised eyebrows, is hidden. Such a good thing!""; 2-5s He tore open the potato chip bag, picked up a piece of potato chip and sniffed it, with a look of surprise on his face, nodded slightly, and said: ""It's crispy, salty and delicious, and you'll be hooked in one bite!"" He put the chips in his mouth and chewed them, closed his eyes and enjoyed it. Then he looked up at the camera, raised his hand to indicate the potato chips, and said in a brisk tone: ""Following dramas to satisfy my craving is more satisfying than palace snacks!""; 8-10s He held the bag of potato chips facing the camera, and gestured with the recommendation hand with his other hand. With a smile on his face, he said with a friendly aura: ""Today's special offer, please place your order quickly!""; Requirements: Sound effect adaptation: with the crisp sound of potato chips being ripped open and chewed, and at the end with a brisk ancient-style delivery prompt sound to enhance the atmosphere and memory points. Oral broadcasting rhythm: The speaking speed is slightly slower, fitting the original intonation of Shiro in The Legend of Zhen Huan, with its own ancient accent. Each sentence is connected smoothly, and it is guaranteed to be read completely in 10 seconds.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
26,E-commerce/Advertising,,,B40wdHLMMoWgOqxWQnGc0mW8nsh,2,prompt,"The reference picture is disassembled, the camera remains still, the burger suspended in the air begins to rotate, the ingredients are separated gently and accurately, maintaining the shape and proportion, the movement is smooth, without any additional effects, the burger is separated to both sides, including the golden sesame bun on the top The top, the bright green lettuce leaves underneath, the beady slices of fresh red tomatoes, the two thick, juicy layers of grilled beef patty sandwiched with melted golden cheddar cheese, and the fluffy bun base at the very bottom, all fall slowly and perfectly together into a complete deluxe double cheeseburger. During this process, the cheese continues to melt slightly and slowly drips, and the water droplets on the lettuce and tomatoes are crystal clear, maintaining the extremely attractive gourmet beauty.",https://bytedance.larkoffice.com/wiki/LJXzwehluiFdzKkb1recZdfonZg
